roi_label,roi_index,neuron_count
AB(R),0,2
AL(L),1,4090
AL(R),2,4449
AME(R),3,63
AMMC,4,987
AOT(R),5,2
AOTU(R),6,910
ATL(L),7,60
AVLP(R),8,324
BU(L),9,96
CA(L),10,762
CA(R),11,98
CAN(R),12,168
"CRE(-ROB,-RUB)(R)",13,39
CRE(-RUB)(L),14,766
CRE(L),15,64
CRE(R),16,35
CX,17,2775
EPA(L),18,311
FLA(R),19,446
GC,20,56
GF(R),21,1
GNG,22,4034
GOR(L),23,33
GOR(R),24,2
IB,25,151
ICL(L),26,1493
ICL(R),27,27
INP,28,3701
IPS(R),29,432
LAL(-GA)(R),30,498
LAL(L),31,1882
LAL(R),32,21
LH(R),33,784
LO(R),34,20457
LOP(R),35,2696
LX(L),36,5
LX(R),37,25
MB(+ACA)(R),38,2162
MB(L),39,4585
ME(R),40,2844
OL(R),41,1682
PENP,42,2806
PLP(R),43,1231
POC,44,119
PVLP(R),45,639
SIP(L),46,845
SIP(R),47,4
SLP(R),48,820
SMP(L),49,4374
SMP(R),50,463
SNP(L),51,2342
SNP(R),52,3022
SPS(L),53,2540
SPS(R),54,190
VES(L),55,995
VES(R),56,861
VLNP(R),57,5066
VMNP,58,3131
mALT(L),59,110
mALT(R),60,1
unknown,61,4323
