node_index,body_id,value
0,AB(R),1
1,CX,1
2,LAL(R),1
3,LH(R),1
4,SLP(R),1
5,SNP(R),1
6,unknown,1
7,AL(L),1
8,AL(R),1
9,ATL(L),1
10,AVLP(R),1
11,CA(L),1
12,"CRE(-ROB,-RUB)(R)",1
13,CRE(-RUB)(L),1
14,CRE(R),1
15,EPA(L),1
16,GC,1
17,INP,1
18,LAL(-GA)(R),1
19,LAL(L),1
20,LO(R),1
21,MB(+ACA)(R),1
22,MB(L),1
23,OL(R),1
24,PLP(R),1
25,SMP(L),1
26,SMP(R),1
27,SNP(L),1
28,VES(R),1
29,VLNP(R),1
30,VMNP,1
31,mALT(L),1
32,AME(R),1
33,AMMC,1
34,AOTU(R),1
35,CA(R),1
36,CAN(R),1
37,FLA(R),1
38,GNG,1
39,IB,1
40,ICL(R),1
41,IPS(R),1
42,LX(R),1
43,ME(R),1
44,PENP,1
45,POC,1
46,PVLP(R),1
47,SIP(R),1
48,SPS(L),1
49,SPS(R),1
50,GF(R),1
51,AOT(R),1
52,BU(L),1
53,CRE(L),1
54,ICL(L),1
55,VES(L),1
56,LX(L),1
57,SIP(L),1
58,GOR(L),1
59,GOR(R),1
60,LOP(R),1
61,mALT(R),1
